ID,类别,问题,Top1命中,Top3命中,TopK命中,文档命中,最高分,Top1文档,Top1片段预览,备注
permit_apply_basic_001,港澳通行证办理,第一次办理港澳通行证要怎么办？,是,是,是,是,0.9464,政务办事_港澳通行证办理知识库.md,知识条目：首次办理线下窗口流程 - 条目ID：ga_permit_018 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：首次办理、线下窗口、预约、缴费、领证 - 核心结论：首次办理港澳通行证通常适用线下窗口办理。流程包括预约、准备材料、现场提交材料并采集指纹、缴费、选择现场领取或邮寄。,应召回港澳通行证首次办理或申请流程相关说明
permit_apply_material_001,首次办理材料,首次办理港澳通行证需要带哪些材料？,是,是,是,是,0.8986,政务办事_港澳通行证办理知识库.md,知识条目：年满16周岁一般居民办理材料 - 条目ID：ga_permit_003 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：材料、16周岁以上、身份证、首次办理 - 适用对象：年满16周岁的普通内地居民。 - 核心结论：年满16周岁的一般居民办理港澳通行证，通常需提供申请表、照片及回执、居民身份证原件，并按规定核验...,应召回首次办理材料清单或材料准备说明
permit_endorsement_type_001,G签/L签区别,G签和L签有什么区别？,是,是,是,是,0.7860,政务办事_港澳通行证办理知识库.md,知识条目：团队旅游签注L签说明 - 条目ID：ga_permit_010 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：L签、团队旅游签注、自行通关、旅游签注 - 核心结论：团队旅游签注适用于所有内地居民，不受户籍限制。自2017年8月起，持L签旅客在绝大多数口岸可自行持证件过关，实际操作上与G签基本一致。,应召回签注类型区别说明
permit_endorsement_type_002,G签/L签区别,个人旅游签注和团队旅游签注是不是一样？,是,是,是,是,0.7886,政务办事_港澳通行证办理知识库.md,知识条目：团队旅游签注L签说明 - 条目ID：ga_permit_010 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：L签、团队旅游签注、自行通关、旅游签注 - 核心结论：团队旅游签注适用于所有内地居民，不受户籍限制。自2017年8月起，持L签旅客在绝大多数口岸可自行持证件过关，实际操作上与G签基本一致。,应召回个人旅游与团队旅游签注说明
permit_renewal_001,签注续签,港澳通行证签注到期了怎么续签？,是,是,是,是,0.7620,政务办事_港澳通行证办理知识库.md,办理步骤 / 建议行动 1. 在自助机选择出入境业务和续签 2. 选择前往地和签注种类 3. 插入港澳通行证并人脸识别 4. 核对制卡信息并缴费 5. 打印签注后取证离开,应召回签注续签或重新办理说明
permit_renewal_002,签注续签,通行证还没过期，只是签注用完了，还需要重新办证吗？,是,是,是,是,0.6071,政务办事_港澳通行证办理知识库.md,注意事项 - 证件有效期需比申请签注有效期多20天以上。 - 补发和换发材料以窗口要求为准。,应召回证件与签注关系说明
permit_fee_001,办理费用,办理港澳通行证多少钱？,是,是,是,是,0.8057,政务办事_港澳通行证办理知识库.md,知识条目：港澳通行证费用标准 - 条目ID：ga_permit_025 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：费用、证件费、签注费、特殊签注 - 核心结论：往来港澳通行证证件费为60元/证。一次有效签注15元/件，二次有效签注30元/件，短期多次签注80元/件，长期多次签注费用按年限递增。,应召回证件工本费和签注费用相关片段
permit_fee_002,办理费用,港澳通行证签注收费标准是多少？,是,是,是,是,0.8610,政务办事_港澳通行证办理知识库.md,知识条目：港澳通行证费用标准 - 条目ID：ga_permit_025 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：费用、证件费、签注费、特殊签注 - 核心结论：往来港澳通行证证件费为60元/证。一次有效签注15元/件，二次有效签注30元/件，短期多次签注80元/件，长期多次签注费用按年限递增。,应召回签注收费相关说明
permit_time_001,办理时限,港澳通行证一般多久能办好？,是,是,是,是,0.8666,政务办事_港澳通行证办理知识库.md,知识条目：港澳通行证办理时限 - 条目ID：ga_permit_026 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：办理时限、首次办理、换发、补发、签注、网办 - 核心结论：资料显示，广东省内户籍首次办理/换发/补发通常5-7个工作日，广东省外户籍可能10-20个工作日；自助签注机立等可取，人工窗口签注通常7-10个...,应召回办理时限或领取时间说明
permit_time_002,办理时限,签注续签需要等多少天？,是,是,是,是,0.7076,政务办事_港澳通行证办理知识库.md,办理时限 / 有效期 广东省内户籍5-7个工作日；广东省外户籍10-20个工作日；自助签注机立等可取；人工窗口7-10个工作日；网办审核4个工作日、缴费后制证3个工作日再加邮寄时间。,应召回签注办理时限说明
permit_expired_001,证件过期,港澳通行证过期了还能继续用吗？,是,是,是,是,0.5190,政务办事_港澳通行证办理知识库.md,知识条目：通行证有效期与换发补发情形 - 条目ID：ga_permit_028 - 知识类型：政务办事 - 业务领域：港澳通行证/签注/续签/过关材料 - 场景标签：有效期、换发、补发、遗失、损毁 - 核心结论：港澳通行证未满16周岁有效期为5年，16周岁及以上有效期为10年。有效期不足6个月、证件损毁、身份信息变更、指纹变化等可申请换发；遗失、被盗抢可申请...,应召回证件过期或换发相关说明
permit_expired_002,证件过期,通行证快到期了，签注还能办吗？,是,是,是,是,0.6470,政务办事_港澳通行证办理知识库.md,办理时限 / 有效期 签注有效期1年，每个自然周一次，每次逗留不超过7天,应召回证件有效期与签注办理关系说明
